ZRC,Part,Length,Volume,Measurer(will editing this change anything)
17832,Head,0.18245,0.00166,CL
17832,Thorax,0.29125,0.00832,CL
17832,Abdomen,0.82784,0.04317,CL
213256,Head,0.28088,0.00486,CL
213256,Thorax,0.36825,0.01106,CL
213256,Abdomen,0.63062,0.01445,CL
218026,Head,0.27629,0.0052,CL
218026,Thorax,0.39858,0.01421,CL
218026,Abdomen,0.82433,0.05115,CL
250849,Head,0.22669,0.00492,CL
250849,Thorax,0.43444,0.0155,CL
250849,Abdomen,0.88474,0.03545,CL
256870,Head,0.23228,0.00356,CL
256870,Thorax,0.38496,0.01398,CL
256870,Abdomen,0.6741,0.03563,CL
256870,Ovipositor,0.2665,0.00051,CL
265505,Head,0.22326,0.00252,CL
265505,Thorax,0.31095,0.0103,CL
265505,Abdomen,0.60244,0.01719,CL
265505,Ovipositor,0.21352,0.00036,CL
312403,Head,0.30468,0.00561,CL
312403,Thorax,0.63762,0.0815,CL
312403,Abdomen,1.47864,0.18976,CL
312583,Head,0.18673,0.00233,CL
312583,Thorax,0.39081,0.01524,CL
312583,Abdomen,0.6187,0.02459,CL
312583,Ovipositor,0.33222,0.00084,CL
317473,Head,0.13168,0.00065,CL
317473,Thorax,0.16679,0.00114,CL
317473,Abdomen,0.30727,0.00191,CL
321581,Head,0.31109,0.00697,CL
321581,Thorax,0.51605,0.04342,CL
321581,Abdomen,0.99197,0.10009,CL
17832,Head,0.194,0.00193,NL
17832,Thorax,0.371,0.01,NL
17832,Abdomen,0.72,0.029,NL
213256,Head,0.265,0.00483,NL
213256,Thorax,0.397,0.0121,NL
213256,Abdomen,0.588,0.0124,NL
218026,Head,0.291,0.00671,NL
218026,Thorax,0.431,0.0196,NL
218026,Abdomen,0.779,0.0485,NL
250849,Head,0.255,0.00609,NL
250849,Thorax,0.34,0.0106,NL
250849,Abdomen,0.824,0.03,NL
256870,Head,0.249,0.00329,NL
256870,Thorax,0.325,0.0124,NL
256870,Abdomen,0.667,0.0332,NL
256870,Ovipositor,0.111,0.00037,NL
265505,Head,0.242,0.00293,NL
265505,Thorax,0.309,0.0103,NL
265505,Abdomen,0.607,0.018,NL
265505,Ovipositor,0.177,0.00041,NL
312403,Head,0.345,0.00627,NL
312403,Thorax,0.622,0.0724,NL
312403,Abdomen,1.43,0.224,NL
312583,Head,0.201,0.00213,NL
312583,Thorax,0.389,0.012,NL
312583,Abdomen,0.777,0.028,NL
312583,Ovipositor,0.251,0.00026,NL
317473,Head,0.124,0.00055,NL
317473,Thorax,0.203,0.00172,NL
317473,Abdomen,0.301,0.00176,NL
321581,Head,0.322,0.0095,NL
321581,Thorax,0.576,0.0464,NL
321581,Abdomen,0.885,0.121,NL
